,HHPER,HHPERTRIP,origin,origin_dwell,origin_ST,origin_ET,trip_ET,TT,MODE
3966,14686923,1468692311.0,school,6.333333333333334,8.0,14.333333333333334,17.0,2.666666666666666,shared
3967,14688634,1468863401.0,home,15.916666666666668,15.5,7.416666666666667,7.833333333333333,0.4166666666666661,shared
3968,14688634,1468863411.0,school,7.333333333333333,7.833333333333333,15.166666666666666,15.5,0.3333333333333339,shared
3969,14689544,1468954401.0,home,16.166666666666668,15.166666666666666,7.333333333333333,7.833333333333333,0.5,shared
3970,14689544,1468954411.0,school,6.833333333333333,7.833333333333333,14.666666666666666,15.166666666666666,0.5,shared
3971,14690241,1469024101.0,home,20.25,12.25,8.5,10.0,1.5,drive_alone
3972,14690241,1469024111.0,school,2.0,10.0,12.0,12.25,0.25,drive_alone
3973,14693043,1469304301.0,home,19.583333333333336,15.25,10.833333333333334,10.916666666666666,0.08333333333333215,shared
3974,14693043,1469304311.0,school,4.083333333333334,10.916666666666666,15.0,15.25,0.25,walk
3975,14693044,1469304401.0,home,10.583333333333334,21.75,8.333333333333334,8.5,0.16666666666666607,shared
3976,14693044,1469304411.0,school,6.75,8.5,15.25,21.75,6.5,shared
3977,14694584,1469458401.0,home,14.833333333333332,17.0,7.833333333333333,8.166666666666666,0.33333333333333304,shared
3978,14694584,1469458411.0,school,7.25,8.166666666666666,15.416666666666666,17.0,1.583333333333334,shared
3979,14694585,1469458501.0,home,14.833333333333332,17.0,7.833333333333333,8.083333333333334,0.2500000000000009,shared
3980,14694585,1469458511.0,school,7.5,8.083333333333334,15.583333333333334,17.0,1.416666666666666,shared
3981,14694586,1469458601.0,home,17.616666666666667,14.216666666666667,7.833333333333333,8.0,0.16666666666666696,shared
3982,14694586,1469458611.0,school,6.0,8.0,14.0,14.216666666666667,0.21666666666666679,shared
3983,14696444,1469644402.0,home,20.75,21.5,18.25,18.666666666666668,0.41666666666666785,shared
3984,14696444,1469644412.0,school,2.583333333333332,18.666666666666668,21.25,21.5,0.25,shared
3985,14696463,1469646301.0,home,18.0,13.0,7.0,7.5,0.5,walk
3986,14696463,1469646311.0,school,5.0,7.5,12.5,13.0,0.5,walk
3987,14696983,1469698301.0,home,16.5,15.75,8.25,8.5,0.25,shared
3988,14696983,1469698311.0,school,7.0,8.5,15.5,15.75,0.25,shared
3989,14697321,1469732101.0,home,17.583333333333336,14.166666666666666,7.75,8.0,0.25,shared
3990,14697321,1469732111.0,school,4.0,8.0,12.0,14.166666666666666,2.166666666666666,shared
3991,14698684,1469868401.0,home,17.25,15.333333333333334,8.583333333333334,8.833333333333334,0.25,walk
3992,14698684,1469868411.0,school,6.333333333333332,8.833333333333334,15.166666666666666,15.333333333333334,0.16666666666666785,walk
3993,14698685,1469868501.0,home,17.25,15.333333333333334,8.583333333333334,8.833333333333334,0.25,walk
3994,14698685,1469868511.0,school,6.333333333333332,8.833333333333334,15.166666666666666,15.333333333333334,0.16666666666666785,walk
3997,14702054,1470205401.0,home,15.416666666666668,15.75,7.166666666666667,7.416666666666667,0.25,shared
3998,14702054,1470205411.0,school,8.083333333333332,7.416666666666667,15.5,15.75,0.25,shared
3999,14702055,1470205501.0,home,15.416666666666668,15.75,7.166666666666667,7.583333333333333,0.4166666666666661,shared
4000,14702055,1470205511.0,school,7.416666666666667,7.583333333333333,15.0,15.75,0.75,shared
4001,14703203,1470320301.0,home,14.666666666666666,18.166666666666668,8.833333333333334,9.166666666666666,0.33333333333333215,shared
4002,14703203,1470320311.0,school,8.500000000000002,9.166666666666666,17.666666666666668,18.166666666666668,0.5,shared
4003,14704833,1470483301.0,home,14.5,16.0,6.5,7.166666666666667,0.666666666666667,drive_alone
4004,14704833,1470483311.0,school,7.833333333333333,7.166666666666667,15.0,16.0,1.0,drive_alone
4005,14705271,1470527101.0,home,16.016666666666666,16.516666666666666,8.533333333333333,8.833333333333334,0.3000000000000007,drive_alone
4006,14705271,1470527111.0,school,6.166666666666666,8.833333333333334,15.0,16.516666666666666,1.5166666666666657,drive_alone
4007,14705274,1470527401.0,home,16.583333333333332,14.5,7.083333333333333,8.083333333333334,1.0000000000000009,WSBusW
4008,14705274,1470527411.0,school,5.166666666666666,8.083333333333334,13.25,14.5,1.25,WSBusW
4009,14705333,1470533301.0,home,16.3,15.033333333333333,7.333333333333333,7.433333333333334,0.10000000000000053,shared
4010,14705333,1470533311.0,school,7.5,7.433333333333334,14.933333333333334,15.033333333333333,0.09999999999999964,shared
4011,14705981,1470598101.0,home,21.95,11.75,9.7,9.883333333333333,0.18333333333333357,drive_alone
4012,14705981,1470598111.0,school,1.7833333333333332,9.883333333333333,11.666666666666666,11.75,0.08333333333333393,drive_alone
4013,14709273,1470927301.0,home,16.75,15.083333333333334,7.833333333333333,8.083333333333334,0.2500000000000009,shared
4014,14709273,1470927311.0,school,6.916666666666666,8.083333333333334,15.0,15.083333333333334,0.08333333333333393,shared
4015,14711973,1471197301.0,home,16.466666666666665,15.116666666666667,7.583333333333333,7.716666666666667,0.13333333333333375,drive_alone
4016,14711973,1471197311.0,school,7.166666666666666,7.716666666666667,14.883333333333333,15.116666666666667,0.23333333333333428,drive_alone
4017,14712823,1471282301.0,home,10.166666666666664,21.666666666666668,7.833333333333333,8.583333333333334,0.7500000000000009,drive_alone
4018,14712823,1471282311.0,school,4.583333333333332,8.583333333333334,13.166666666666666,21.666666666666668,8.500000000000002,drive_alone
4019,14712843,1471284301.0,home,17.333333333333336,14.666666666666666,8.0,8.25,0.25,walk
4020,14712843,1471284311.0,school,6.25,8.25,14.5,14.666666666666666,0.16666666666666607,walk
4021,14712844,1471284401.0,home,17.666666666666668,14.0,7.666666666666667,7.75,0.08333333333333304,walk
4022,14712844,1471284411.0,school,6.0,7.75,13.75,14.0,0.25,walk
4023,14713103,1471310301.0,home,21.6,12.183333333333334,9.783333333333333,9.916666666666666,0.13333333333333286,drive_alone
4024,14713103,1471310311.0,school,2.033333333333333,9.916666666666666,11.95,12.183333333333334,0.23333333333333428,drive_alone
4025,14714153,1471415301.0,home,18.21666666666667,13.483333333333333,7.7,7.85,0.14999999999999947,walk
4026,14714153,1471415311.0,school,5.450000000000001,7.85,13.3,13.483333333333333,0.1833333333333318,walk
4027,14715334,1471533401.0,home,17.1,14.666666666666666,7.766666666666667,7.883333333333333,0.11666666666666625,walk
4028,14715334,1471533411.0,school,6.533333333333333,7.883333333333333,14.416666666666666,14.666666666666666,0.25,walk
4029,14715335,1471533501.0,home,17.166666666666668,14.666666666666666,7.833333333333333,8.0,0.16666666666666696,shared
4030,14715335,1471533511.0,school,6.333333333333334,8.0,14.333333333333334,14.666666666666666,0.33333333333333215,walk
4031,14715336,1471533601.0,home,17.166666666666668,14.666666666666666,7.833333333333333,8.0,0.16666666666666696,shared
4032,14715336,1471533611.0,school,6.333333333333334,8.0,14.333333333333334,14.666666666666666,0.33333333333333215,walk
4033,14715493,1471549301.0,home,,,8.35,9.25,0.9000000000000004,WTranW
4034,14715493,1471549311.0,school,2.75,9.25,12.0,,,WTranW
4035,14715494,1471549401.0,home,18.166666666666668,14.666666666666666,8.833333333333334,9.283333333333333,0.4499999999999993,walk
4036,14715494,1471549421.0,school,5.050000000000001,9.283333333333333,14.333333333333334,14.666666666666666,0.33333333333333215,walk
